occ1990,foreign_empl,native_empl,foreign_howo,native_howo,manual_f,manual_n,language_f,language_n,year,occupation,manual,limbs,strength,body,language,oral,written,cognitive,perception,visual,hearing,vocal
96,191,499,341400,822706,137099.048828125,330381.3977050781,257757,621143.03271484375,2000,Pharmacists,0.4015789330005646,0.40299999713897705,0.41999998688697815,0.375,0.7549999952316284,0.8349999785423279,0.675000011920929,0.6449999809265137,0.5,0.5242857336997986,0.1899999976158142,0.824999988079071
97,2288,16728,3866978,28285620,875158.2066192627,6401482.607433319,2861563.774658203,20931359.124847412,2000,Dietitians and nutritionists,0.22631579637527466,0.16699999570846558,0.3160000145435333,0.26249998807907104,0.7400000095367432,0.6800000071525574,0.800000011920929,0.7183333039283752,0.38199999928474426,0.5271428823471069,0.3100000023841858,0.6899999976158142
98,284,2570,442004,4978809,327082.96142578125,3684318.70111084,303877.75,3422931.1875,2000,Respiratory therapists,0.7400000095367432,0.7850000262260437,0.7260000109672546,0.6449999809265137,0.6875,0.8849999904632568,0.49000000953674316,0.6766666769981384,0.6200000047683716,0.6128571629524231,0.8299999833106995,0.8650000095367432
99,169,719,325906,1053037,162528.455078125,525146.75146484375,260062.125,840288.4132080078,2000,Occupational therapists,0.49869734048843384,0.4218982458114624,0.5886592268943787,0.5782426595687866,0.7979666590690613,0.8325529098510742,0.7633803486824036,0.6511220335960388,0.5466082692146301,0.4816448390483856,0.3880764842033386,0.7746039032936096
103,1346,10617,2076592,17959623,1603169.4067687988,13865178.232543943,1484607.2670593262,12839781.18222046,2000,Physical therapists,0.7720194458961487,0.6782723069190979,0.8709661364555359,0.8827038407325745,0.7149248719215393,0.7026537656784058,0.7271959781646729,0.5691877007484436,0.544516921043396,0.47773078083992004,0.4350564181804657,0.5054578185081482
104,197,699,307986,1107972,108846.71166992188,391573.3464355469,284856.4150390625,1024763.9008789062,2000,Speech therapists,0.35341447591781616,0.40119513869285583,0.30383390188217163,0.2959385812282562,0.9249005317687988,0.929584801197052,0.9202163219451904,0.8865098357200623,0.816656768321991,0.6522432565689087,0.9269192814826965,0.9764619469642639
105,715,6488,1188755,11221947,785284.0483398436,7413147.333312988,819755.2371826172,7738558.260986328,2000,"Therapists, n.e.c.",0.6605936884880066,0.6351518034934998,0.6875662207603455,0.6904826760292053,0.6895914077758789,0.7413448691368103,0.6378379464149475,0.5907585620880127,0.5776282548904419,0.6101373434066772,0.5649963021278381,0.5740346312522888
106,859,5915,1512898,11039882,570123.6724243164,4160292.441619873,1032552.8837890624,7534719.497955322,2000,Physicians' assistants,0.37684211134910583,0.31700000166893005,0.4580000042915344,0.42500001192092896,0.6825000047683716,0.7649999856948853,0.6000000238418579,0.5416666865348816,0.2540000081062317,0.32428571581840515,0.21666666865348816,0.5249999761581421
154,2023,3979,2915524,5420540,630673.8819465637,1172548.3989257812,2645838.0989227295,4919140.168823242,2000,Subject instructors (HS/college),0.21631579101085663,0.15299999713897705,0.2939999997615814,0.2775000035762787,0.9075000286102295,0.8450000286102295,0.9700000286102295,0.5183333158493042,0.2619999945163727,0.35857143998146057,0.2433333396911621,0.6949999928474426
155,8173,97911,12876429,142768882,6194240.157562256,68679347.41097069,6888889.817276001,76381355.65004158,2000,Kindergarten and earlier school teachers,0.4810526371002197,0.3799999952316284,0.5699999928474426,0.6225000023841858,0.5350000262260437,0.5149999856948853,0.5550000071525574,0.6758333444595337,0.5099999904632568,0.5628571510314941,0.8033333420753479,0.7950000166893005
156,3509,12890,5551960,20383875,2761369.5980911255,10138295.804830551,3900251.852533341,14319671.980819702,2000,Primary school teachers,0.4973684251308441,0.4099999964237213,0.578000009059906,0.6150000095367432,0.7024999856948853,0.6499999761581421,0.7549999952316284,0.7691666483879089,0.6679999828338623,0.5685714483261108,0.7599999904632568,0.8100000023841858
157,1086,2859,1919566,4500760,1112337.961669922,2608071.931121826,1396484.2985839844,3274302.963531494,2000,Secondary school teachers,0.5794736742973328,0.5239999890327454,0.6439999938011169,0.637499988079071,0.7275000214576721,0.6899999976158142,0.7649999856948853,0.7749999761581421,0.6840000152587891,0.6142857074737549,0.7266666889190674,0.9350000023841858
158,899,9671,1305041,13865788,507592.2594299317,5393061.735542297,1017931.9434814452,10815314.26513672,2000,Special education teachers,0.38894736766815186,0.28999999165534973,0.5120000243186951,0.48249998688697815,0.7799999713897705,0.8199999928474426,0.7400000095367432,0.7366666793823242,0.5580000281333923,0.5314285755157471,0.5766666531562805,0.9200000166893005
159,46600,449230,56013945,567856619,18297393.83744812,185494812.0127821,20056927.48466301,203332563.38280055,2000,"Teachers , n.e.c.",0.32665783166885376,0.26761648058891296,0.3921997845172882,0.3923337757587433,0.3580702543258667,0.34169650077819824,0.37444397807121277,0.4395538866519928,0.4340836703777313,0.41299694776535034,0.6594458222389221,0.5400233268737793
163,6226,50364,10384871,82867891,3028009.7858428955,24162532.6265831,8281934.733032227,66087144.00181579,2000,Vocational and educational counselors,0.2915789484977722,0.20999999344348907,0.36800000071525574,0.4000000059604645,0.7975000143051147,0.9350000023841858,0.6600000262260437,0.5566666722297668,0.3440000116825104,0.34142857789993286,0.30666667222976685,0.9100000262260437
